ItemID,N_RivID,DataID,OldID,Continent,Country,Ori_SR,SpeMatrix,RawSeq,Note,Year,Month,Primer,BarcodeRegion,BarcodeLength,SamVolume,SamReps,TotVolume,ReferDB,RawSeqID,ReAssigned,Tsite,Tspe,Nsite,Nspe,SR_Ave,SR_SD
I001,NR001,D001,Ref001,North_America,Canada,TRUE,TRUE,FALSE,V1,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db,,,43,65,43,50,8.186046512,4.880748449
I002,NR002,D001,Ref001,North_America,Canada,TRUE,TRUE,FALSE,V1,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db,,,43,65,13,21,3.769230769,2.350668208
I003,NR003,D001,Ref001,North_America,Canada,TRUE,TRUE,FALSE,V1,2013,10,PS1,COI,247,0.5,3.5,1.75,Custom_db,,,43,65,30,51,8.966666667,5.397849721
I004,NR058,D002,Ref002,Asia,Sourth Korea,FALSE,FALSE,TRUE,V2,2018,6,MiFish,12S,170,0.25,4,1,Global_db,RS001,yes,4,NA,4,NA,NA,NA
I005,NR059,D002,Ref002,Asia,Sourth Korea,FALSE,FALSE,TRUE,V2,2018,6,MiFish,12S,170,0.25,4,1,Global_db,RS001,yes,4,NA,4,NA,NA,NA
I006,NR060,D002,Ref002,Asia,Sourth Korea,FALSE,FALSE,TRUE,V2,2018,6,MiFish,12S,170,0.25,4,1,Global_db,RS001,yes,4,NA,4,NA,NA,NA
I007,NR061,D002,Ref002,Asia,Sourth Korea,FALSE,FALSE,TRUE,V2,2018,6,MiFish,12S,170,0.25,4,1,Global_db,RS001,yes,4,NA,4,NA,NA,NA
I008,NR004,D003,Ref003,North_America,US,TRUE,TRUE,TRUE,V1,2013,7,Cytb02,CytB,130,0.05,1,0.05,Global_db,RS048,yes,75,13,75,13,1.189189189,1.23505505
I009,NR005,D004,Ref004,South_America,Brasil,TRUE,TRUE,TRUE,V1,2017,2,MiFish,12S,170,1,3,3,Custom_db,RS007,yes,11,35,11,33,15,6.260990337
I010,NR005,D004,Ref004,South_America,Brasil,TRUE,TRUE,TRUE,V1,2017,3,MiFish,12S,170,1,3,3,Custom_db,RS007,yes,11,35,11,31,17.27272727,6.018154353
I011,NR006,D005,Ref005,Europe,France,TRUE,TRUE,TRUE,V3,2016,4,Teleo,12S,108,30,2,60,Custom_db,RS014,yes,196,48,196,48,23.65803109,8.078852942
I012,NR007,D006,Ref006,Asia,Japan,TRUE,TRUE,TRUE,V1,2016,10,MiFish,12S,170,1,2,2,Global_db,RS002,yes,3,55,3,22,14.33333333,8.020806277
I013,NR008,D006,Ref006,Asia,Japan,TRUE,TRUE,TRUE,V1,2016,10,MiFish,12S,170,1,2,2,Global_db,RS002,yes,3,55,3,33,20.33333333,9.018499506
I014,NR009,D006,Ref006,Asia,Japan,TRUE,TRUE,TRUE,V1,2016,10,MiFish,12S,170,1,2,2,Global_db,RS002,yes,3,55,3,29,17,10.14889157
I015,NR010,D006,Ref006,Asia,Japan,TRUE,TRUE,TRUE,V1,2016,10,MiFish,12S,170,1,2,2,Global_db,RS002,yes,3,55,3,26,16.66666667,2.081665999
I016,NR011,D006,Ref006,Asia,Japan,TRUE,TRUE,TRUE,V1,2016,10,MiFish,12S,170,1,2,2,Global_db,RS002,yes,3,55,3,34,22.33333333,2.081665999
I017,NR012,D007,Ref007,South_America,French Guiana,TRUE,TRUE,FALSE,V1,2014,11,Teleo,12S,108,50,1,50,Global_db,,,15,28,15,23,5.2,4.312771731
I018,NR013,D007,Ref007,South_America,French Guiana,TRUE,TRUE,FALSE,V1,2014,11,Teleo,12S,108,50,1,50,Global_db,,,15,28,5,7,2.8,3.033150178
I019,NR014,D007,Ref007,South_America,French Guiana,TRUE,TRUE,FALSE,V1,2014,11,Teleo,12S,108,50,1,50,Global_db,,,15,28,8,6,2,1.8516402
I020,NR015,D007,Ref007,South_America,French Guiana,TRUE,TRUE,FALSE,V1,2014,11,Teleo,12S,108,50,1,50,Global_db,,,15,28,4,3,1.75,0.957427108
I021,NR016,D008,Ref008,Europe,France,TRUE,TRUE,TRUE,V1,2014,9,Teleo,12S,108,45,4.5,202.5,Global_db,RS016,yes,5,23,5,23,15.6,2.607680962
I022,NR017,D009,Ref009,North_America,US,TRUE,TRUE,TRUE,V1,2018,7,Riaz01,12S,130,0.05,36,1.8,Custom_db,RS024,yes,9,52,9,39,15.42857143,9.413769044
